name,station,time,id,nedbor
Oslo - Blindern,SN18700,26.04.2010,115,0
Oslo - Blindern,SN18700,27.04.2010,116,"0,1"
Oslo - Blindern,SN18700,28.04.2010,117,0
Oslo - Blindern,SN18700,29.04.2010,118,"12,5"
Oslo - Blindern,SN18700,30.04.2010,119,0
Oslo - Blindern,SN18700,01.05.2010,120,3
Oslo - Blindern,SN18700,02.05.2010,121,"4,9"
Oslo - Blindern,SN18700,03.05.2010,122,0
Oslo - Blindern,SN18700,04.05.2010,123,0
Oslo - Blindern,SN18700,05.05.2010,124,"2,5"
Oslo - Blindern,SN18700,06.05.2010,125,0
Oslo - Blindern,SN18700,07.05.2010,126,0
Oslo - Blindern,SN18700,08.05.2010,127,0
Oslo - Blindern,SN18700,09.05.2010,128,0
Oslo - Blindern,SN18700,10.05.2010,129,"0,1"
Oslo - Blindern,SN18700,11.05.2010,130,1
Oslo - Blindern,SN18700,12.05.2010,131,0
Oslo - Blindern,SN18700,13.05.2010,132,"0,1"
Oslo - Blindern,SN18700,14.05.2010,133,0
Oslo - Blindern,SN18700,15.05.2010,134,0
Oslo - Blindern,SN18700,16.05.2010,135,"4,7"
Oslo - Blindern,SN18700,17.05.2010,136,"7,7"
Oslo - Blindern,SN18700,18.05.2010,137,0
Oslo - Blindern,SN18700,19.05.2010,138,0
Oslo - Blindern,SN18700,20.05.2010,139,"0,1"
Oslo - Blindern,SN18700,21.05.2010,140,"0,5"
Oslo - Blindern,SN18700,22.05.2010,141,0
Oslo - Blindern,SN18700,23.05.2010,142,0
Oslo - Blindern,SN18700,24.05.2010,143,"1,3"
Oslo - Blindern,SN18700,25.05.2010,144,"2,1"
Oslo - Blindern,SN18700,26.05.2010,145,0
Oslo - Blindern,SN18700,27.05.2010,146,"0,1"
Oslo - Blindern,SN18700,28.05.2010,147,"0,1"
Oslo - Blindern,SN18700,29.05.2010,148,0
Oslo - Blindern,SN18700,30.05.2010,149,"0,2"
Oslo - Blindern,SN18700,31.05.2010,150,0
Oslo - Blindern,SN18700,01.06.2010,151,0
Oslo - Blindern,SN18700,02.06.2010,152,0
Oslo - Blindern,SN18700,03.06.2010,153,0
Oslo - Blindern,SN18700,04.06.2010,154,0
Oslo - Blindern,SN18700,05.06.2010,155,0
Oslo - Blindern,SN18700,06.06.2010,156,0
Oslo - Blindern,SN18700,07.06.2010,157,0
Oslo - Blindern,SN18700,08.06.2010,158,"2,3"
Oslo - Blindern,SN18700,09.06.2010,159,"6,5"
Oslo - Blindern,SN18700,10.06.2010,160,"5,3"
Oslo - Blindern,SN18700,11.06.2010,161,"0,6"
Oslo - Blindern,SN18700,12.06.2010,162,38
Oslo - Blindern,SN18700,13.06.2010,163,"7,8"
Oslo - Blindern,SN18700,14.06.2010,164,"3,5"
Oslo - Blindern,SN18700,15.06.2010,165,0
Oslo - Blindern,SN18700,16.06.2010,166,0
Oslo - Blindern,SN18700,17.06.2010,167,0
Oslo - Blindern,SN18700,18.06.2010,168,0
Oslo - Blindern,SN18700,19.06.2010,169,"2,5"
Oslo - Blindern,SN18700,20.06.2010,170,"4,4"
Oslo - Blindern,SN18700,21.06.2010,171,0
Oslo - Blindern,SN18700,22.06.2010,172,0
Oslo - Blindern,SN18700,23.06.2010,173,0
Oslo - Blindern,SN18700,24.06.2010,174,0
Oslo - Blindern,SN18700,25.06.2010,175,1
Oslo - Blindern,SN18700,26.06.2010,176,"0,9"
Oslo - Blindern,SN18700,27.06.2010,177,0
Oslo - Blindern,SN18700,28.06.2010,178,0
Oslo - Blindern,SN18700,29.06.2010,179,0
Oslo - Blindern,SN18700,30.06.2010,180,"5,6"
Oslo - Blindern,SN18700,01.07.2010,181,13
Oslo - Blindern,SN18700,02.07.2010,182,0
Oslo - Blindern,SN18700,03.07.2010,183,0
Oslo - Blindern,SN18700,04.07.2010,184,"5,5"
Oslo - Blindern,SN18700,05.07.2010,185,0
Oslo - Blindern,SN18700,06.07.2010,186,0
Oslo - Blindern,SN18700,07.07.2010,187,0
Oslo - Blindern,SN18700,08.07.2010,188,"5,5"
Oslo - Blindern,SN18700,09.07.2010,189,"1,3"
Oslo - Blindern,SN18700,10.07.2010,190,0
Oslo - Blindern,SN18700,11.07.2010,191,0
Oslo - Blindern,SN18700,12.07.2010,192,"7,8"
Oslo - Blindern,SN18700,13.07.2010,193,18
Oslo - Blindern,SN18700,14.07.2010,194,"1,3"
Oslo - Blindern,SN18700,15.07.2010,195,0
Oslo - Blindern,SN18700,16.07.2010,196,"11,2"
Oslo - Blindern,SN18700,17.07.2010,197,"1,8"
Oslo - Blindern,SN18700,18.07.2010,198,0
Oslo - Blindern,SN18700,19.07.2010,199,0
Oslo - Blindern,SN18700,20.07.2010,200,"0,8"
Oslo - Blindern,SN18700,21.07.2010,201,"2,6"
Oslo - Blindern,SN18700,22.07.2010,202,"0,2"
Oslo - Blindern,SN18700,23.07.2010,203,"2,6"
Oslo - Blindern,SN18700,24.07.2010,204,0
Oslo - Blindern,SN18700,25.07.2010,205,0
Oslo - Blindern,SN18700,26.07.2010,206,"14,4"
Oslo - Blindern,SN18700,27.07.2010,207,"1,6"
Oslo - Blindern,SN18700,28.07.2010,208,0
Oslo - Blindern,SN18700,29.07.2010,209,0
Oslo - Blindern,SN18700,30.07.2010,210,"25,5"
Oslo - Blindern,SN18700,31.07.2010,211,"3,5"
Oslo - Blindern,SN18700,01.08.2010,212,"5,5"
Oslo - Blindern,SN18700,02.08.2010,213,0
Oslo - Blindern,SN18700,03.08.2010,214,0
Oslo - Blindern,SN18700,04.08.2010,215,0
Oslo - Blindern,SN18700,05.08.2010,216,"0,5"
Oslo - Blindern,SN18700,06.08.2010,217,"18,7"
Oslo - Blindern,SN18700,07.08.2010,218,3
Oslo - Blindern,SN18700,08.08.2010,219,0
Oslo - Blindern,SN18700,09.08.2010,220,0
Oslo - Blindern,SN18700,10.08.2010,221,0
Oslo - Blindern,SN18700,11.08.2010,222,0
Oslo - Blindern,SN18700,12.08.2010,223,"13,4"
Oslo - Blindern,SN18700,13.08.2010,224,"0,9"
Oslo - Blindern,SN18700,14.08.2010,225,"31,4"
Oslo - Blindern,SN18700,15.08.2010,226,0
Oslo - Blindern,SN18700,16.08.2010,227,0
Oslo - Blindern,SN18700,17.08.2010,228,"6,1"
Oslo - Blindern,SN18700,18.08.2010,229,"0,1"
Oslo - Blindern,SN18700,19.08.2010,230,"1,5"
Oslo - Blindern,SN18700,20.08.2010,231,"1,9"
Oslo - Blindern,SN18700,21.08.2010,232,"3,4"
Oslo - Blindern,SN18700,22.08.2010,233,0
Oslo - Blindern,SN18700,23.08.2010,234,0
Oslo - Blindern,SN18700,24.08.2010,235,"7,2"
Oslo - Blindern,SN18700,25.08.2010,236,"9,8"
Oslo - Blindern,SN18700,26.08.2010,237,"14,1"
Oslo - Blindern,SN18700,27.08.2010,238,"9,3"
Oslo - Blindern,SN18700,28.08.2010,239,"15,2"
Oslo - Blindern,SN18700,29.08.2010,240,"9,3"
Oslo - Blindern,SN18700,30.08.2010,241,"2,6"
Oslo - Blindern,SN18700,31.08.2010,242,0
Oslo - Blindern,SN18700,01.09.2010,243,0
Oslo - Blindern,SN18700,02.09.2010,244,"1,6"
Oslo - Blindern,SN18700,03.09.2010,245,0
Oslo - Blindern,SN18700,04.09.2010,246,0
Oslo - Blindern,SN18700,05.09.2010,247,0
Oslo - Blindern,SN18700,06.09.2010,248,0
Oslo - Blindern,SN18700,07.09.2010,249,0
Oslo - Blindern,SN18700,08.09.2010,250,0
Oslo - Blindern,SN18700,09.09.2010,251,0
Oslo - Blindern,SN18700,10.09.2010,252,0
